INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
312202110,09/01/2025,19:34:00,BRONX,OUTSIDE,49,0,STREET,(null),N,<18,M,BLACK,25-44,M,BLACK,1020797,254600,40.865427,-73.867866,POINT (-73.867866 40.865427)
298949942,01/03/2025,17:30:00,BRONX,OUTSIDE,44,0,STREET,(null),Y,25-44,M,BLACK HISPANIC,<18,M,BLACK,1007076,246675,40.843722,-73.917502,POINT (-73.917502 40.843722)
298949944,01/05/2025,19:43:00,MANHATTAN,OUTSIDE,24,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,991875,227527,40.791193,-73.972463,POINT (-73.972463 40.791193)
309560882,07/13/2025,21:35:00,BROOKLYN,OUTSIDE,77,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1004594,185427,40.675616,-73.926657,POINT (-73.926657 40.675616)
302113753,03/05/2025,12:35:00,BRONX,OUTSIDE,42,0,STREET,(null),N,<18,M,WHITE HISPANIC,25-44,M,BLACK,1010199,239299,40.823467,-73.906241,POINT (-73.906241 40.823467)
301529587,02/22/2025,00:38:00,BRONX,INSIDE,45,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1032397,238442,40.821023,-73.826044,POINT (-73.826044 40.821023)
308800536,06/28/2025,19:40:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1008749,179070,40.658159,-73.911702,POINT (-73.911702 40.658159)
300450100,02/02/2025,22:30:00,QUEENS,OUTSIDE,102,0,STREET,(null),N,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER,1022122,187487,40.681213,-73.863454,POINT (-73.863454 40.681213)
304022767,04/01/2025,15:30:00,BRONX,OUTSIDE,48,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1016830,249479,40.851386,-73.882234,POINT (-73.882234 40.851386)
303301268,03/20/2025,08:00:00,BROOKLYN,OUTSIDE,83,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1006935,193011,40.696427,-73.918193,POINT (-73.918193 40.696427)
301313415,02/18/2025,18:50:00,BRONX,OUTSIDE,42,0,STREET,(null),N,<18,M,BLACK,25-44,M,BLACK HISPANIC,1012541,242362,40.831867,-73.897769,POINT (-73.897769 40.831867)
312143619,08/30/2025,00:46:00,BROOKLYN,OUTSIDE,79,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,998448,188816,40.684932,-73.948807,POINT (-73.948807 40.684932)
304666375,04/13/2025,04:47:00,BRONX,OUTSIDE,45,0,STREET,(null),Y,(null),(null),(null),18-24,M,WHITE HISPANIC,1034433,236681,40.816178,-73.818701,POINT (-73.818701 40.816178)
311661208,08/22/2025,16:03:00,BRONX,OUTSIDE,45,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK HISPANIC,1027267,245362,40.84003243,-73.84453462,POINT (-73.84453462 40.84003243)
305252462,04/23/2025,16:54:00,BRONX,OUTSIDE,50,0,STREET,(null),N,<18,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,1011704,255784,40.868709,-73.900738,POINT (-73.900738 40.868709)
313349614,09/23/2025,14:02:00,MANHATTAN,OUTSIDE,25,0,PLAYGROUND,(null),N,(null),(null),(null),25-44,M,BLACK HISPANIC,1000098,232836,40.80574267,-73.94275414,POINT (-73.94275414 40.80574267)
307731891,06/08/2025,06:35:00,BROOKLYN,OUTSIDE,63,0,STREET,(null),N,45-64,M,BLACK,45-64,M,BLACK,1006149,166607,40.623957,-73.921111,POINT (-73.921111 40.623957)
308408221,06/20/2025,19:06:00,QUEENS,OUTSIDE,104,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,1013701,195936,0,0,POINT (0 0)
313028799,09/16/2025,14:30:00,MANHATTAN,OUTSIDE,7,0,STREET,(null),N,25-44,M,BLACK,45-64,F,WHITE,987813,199396,40.713981,-73.987146,POINT (-73.987146 40.713981)
309560882,07/13/2025,21:35:00,BROOKLYN,OUTSIDE,77,0,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),25-44,M,BLACK,1004594,185427,40.675616,-73.926657,POINT (-73.926657 40.675616)
308417294,06/20/2025,14:51:00,BRONX,OUTSIDE,46,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,1011263,248425,40.848512,-73.902363,POINT (-73.902363 40.848512)
304221983,04/05/2025,02:30:00,BROOKLYN,INSIDE,61,2,HOUSING,(null),Y,25-44,M,BLACK,25-44,M,BLACK,1001807,156562,40.596395,-73.93678,POINT (-73.93678 40.596395)
311991746,08/27/2025,08:30:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1009087,244634,40.838114,-73.91024,POINT (-73.91024 40.838114)
310276533,07/26/2025,20:48:00,BRONX,OUTSIDE,44,0,STREET,(null),N,<18,M,BLACK HISPANIC,18-24,M,BLACK,1004341,243150,40.834052,-73.927396,POINT (-73.927396 40.834052)
306880258,05/22/2025,17:55:00,BROOKLYN,OUTSIDE,77,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1001597,185351,40.675414,-73.937462,POINT (-73.937462 40.675414)
306062049,05/08/2025,00:25:00,BRONX,OUTSIDE,47,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1030360,261043,40.883065,-73.833249,POINT (-73.833249 40.883065)
311113696,08/12/2025,19:02:00,BRONX,INSIDE,43,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,18-24,M,ASIAN / PACIFIC ISLANDER,1018291,243086,40.833835,-73.876987,POINT (-73.876987 40.833835)
303231197,03/19/2025,00:20:00,BRONX,OUTSIDE,52,0,STREET,(null),N,45-64,M,WHITE HISPANIC,25-44,M,BLACK,1013654,255157,40.866982,-73.893691,POINT (-73.893691 40.866982)
305034045,04/19/2025,21:02:00,BRONX,OUTSIDE,45,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1024971,246267,40.842537,-73.852825,POINT (-73.852825 40.842537)
310357834,07/28/2025,18:28:00,MANHATTAN,INSIDE,18,0,COMMERCIAL,(null),N,25-44,M,BLACK,25-44,M,BLACK,991647,215481,40.758128,-73.973298,POINT (-73.973298 40.758128)
299996365,01/24/2025,20:20:00,BRONX,OUTSIDE,42,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1014445,240852,40.827717,-73.890893,POINT (-73.890893 40.827717)
303036413,03/17/2025,05:16:00,QUEENS,OUTSIDE,111,0,STREET,(null),N,(null),(null),(null),45-64,M,BLACK,1052374,210962,40.745465,-73.754146,POINT (-73.754146 40.745465)
309161372,07/06/2025,11:41:00,BRONX,OUTSIDE,46,0,STREET,(null),N,25-44,M,BLACK,45-64,M,BLACK,1005625,247883,40.847041,-73.92274,POINT (-73.92274 40.847041)
312482076,09/06/2025,13:45:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK,1008238,178970,40.657885,-73.913541,POINT (-73.913541 40.657885)
308868058,06/30/2025,13:00:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1007919,179199,40.65850488,-73.91469197,POINT (-73.91469197 40.65850488)
313028800,09/16/2025,18:18:00,MANHATTAN,OUTSIDE,20,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,987541,220634,40.772275,-73.988118,POINT (-73.988118 40.772275)
300197279,01/28/2025,15:30:00,BROOKLYN,INSIDE,67,0,DWELLING,MULTI DWELL - APT BUILD,N,(null),(null),(null),<18,M,BLACK,1004499,180655,40.662519,-73.927012,POINT (-73.927012 40.662519)
306915848,05/23/2025,10:30:00,BRONX,OUTSIDE,43,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1020240,243433,40.83476932,-73.86994082,POINT (-73.86994082 40.83476932)
302312793,03/08/2025,02:40:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),Y,45-64,M,BLACK,45-64,M,BLACK,1008966,186494,40.678533,-73.910891,POINT (-73.910891 40.678533)
311299210,08/16/2025,03:30:00,BRONX,OUTSIDE,41,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1016032,235579,40.813238,-73.885183,POINT (-73.885183 40.813238)
305637545,04/30/2025,22:40:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,<18,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1041743,198016,40.70999809,-73.79262296,POINT (-73.79262296 40.70999809)
305034044,04/19/2025,22:19:00,BROOKLYN,OUTSIDE,67,0,COMMERCIAL,SMALL MERCHANT,N,25-44,M,BLACK,25-44,M,BLACK,1003890,172805,40.640973,-73.929232,POINT (-73.929232 40.640973)
300261482,01/29/2025,18:15:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1002275,233608,40.807866,-73.934886,POINT (-73.934886 40.807866)
307746978,06/08/2025,22:09:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,998821,172641,40.640535,-73.947495,POINT (-73.947495 40.640535)
305364725,04/25/2025,23:57:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1001179,238750,40.821982,-73.938833,POINT (-73.938833 40.821982)
310966074,08/09/2025,20:45:00,BROOKLYN,OUTSIDE,90,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1000896,194740,40.701186,-73.939967,POINT (-73.939967 40.701186)
310671125,08/04/2025,04:38:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1004029,171113,40.63633,-73.928736,POINT (-73.928736 40.63633)
307386906,06/01/2025,21:50:00,BRONX,OUTSIDE,42,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1011314,241548,40.82962741,-73.9022048,POINT (-73.9022048 40.82962741)
309519919,07/13/2025,03:10:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK HISPANIC,1011174,246996,40.84458101,-73.90268882,POINT (-73.90268882 40.84458101)
306613733,05/18/2025,03:54:00,QUEENS,OUTSIDE,110,0,STREET,(null),N,18-24,M,BLACK,18-24,F,BLACK,1016250,208615,40.739229,-73.884526,POINT (-73.884526 40.739229)
300882494,02/10/2025,20:33:00,QUEENS,INSIDE,109,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,1031364,218413,40.766054,-73.829917,POINT (-73.829917 40.766054)
311757222,08/23/2025,19:27:00,BRONX,OUTSIDE,47,0,PLAYGROUND,(null),N,25-44,M,BLACK,25-44,M,BLACK,1028261,257789,40.87413587,-73.84086067,POINT (-73.84086067 40.87413587)
310966077,08/10/2025,00:52:00,BRONX,OUTSIDE,48,0,STREET,(null),N,<18,M,WHITE HISPANIC,25-44,M,BLACK,1015965,246113,40.842152,-73.885375,POINT (-73.885375 40.842152)
313570970,09/28/2025,01:12:00,BRONX,OUTSIDE,43,0,COMMERCIAL,BAR/NIGHT CLUB,N,(null),(null),(null),25-44,F,WHITE HISPANIC,1021853,242624,40.832551,-73.864117,POINT (-73.864117 40.832551)
298756518,01/01/2025,20:20:00,BROOKLYN,INSIDE,75,0,COMMERCIAL,BEAUTY/NAIL SALON,N,(null),(null),(null),25-44,M,BLACK,1016621,179609,40.659612,-73.883327,POINT (-73.883327 40.659612)
299382241,01/13/2025,21:15:00,MANHATTAN,OUTSIDE,30,0,STREET,(null),N,<18,M,BLACK,25-44,M,BLACK HISPANIC,997512,239558,40.824207,-73.95208,POINT (-73.95208 40.824207)
307244288,05/29/2025,13:19:00,BRONX,OUTSIDE,43,0,OTHER,(null),N,45-64,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1024045,243057,40.833731,-73.856193,POINT (-73.856193 40.833731)
306394911,05/14/2025,05:56:00,BROOKLYN,OUTSIDE,76,0,STREET,(null),N,25-44,M,BLACK,45-64,M,BLACK HISPANIC,984217,184686,40.673607,-74.00012,POINT (-74.00012 40.673607)
305404405,04/26/2025,20:54:00,QUEENS,OUTSIDE,114,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,1001899,221193,40.773793,-73.936281,POINT (-73.936281 40.773793)
311327863,08/17/2025,03:27:00,BROOKLYN,OUTSIDE,71,0,COMMERCIAL,BAR/NIGHT CLUB,Y,25-44,M,BLACK,25-44,F,BLACK,995600,182496,40.66759,-73.959087,POINT (-73.959087 40.66759)
311756929,08/23/2025,17:26:00,BRONX,OUTSIDE,47,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1021316,259277,40.878261,-73.865964,POINT (-73.865964 40.878261)
299956934,01/23/2025,23:43:00,BRONX,OUTSIDE,43,0,STREET,(null),N,18-24,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,1016692,240037,40.825473,-73.882778,POINT (-73.882778 40.825473)
